year,name,gross,theaters,totalGross,relDate,distributor
2005,Star Wars: Episode III - Revenge of the Sith,"$380,270,577","3,663","$380,270,577",May 19,Twentieth Century Fox
2005,Harry Potter and the Goblet of Fire,"$273,281,180","3,858","$290,013,036",Nov 18,Warner Bros.
2005,War of the Worlds,"$234,280,354","3,910","$234,280,354",Jun 29,Paramount Pictures
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$209,440,087","3,853","$291,710,957",Dec 9,Walt Disney Studios Motion Pictures
2005,Wedding Crashers,"$209,253,921","3,131","$209,255,921",Jul 15,New Line Cinema
2005,Charlie and the Chocolate Factory,"$206,459,076","3,790","$206,459,076",Jul 15,Warner Bros.
2005,Batman Begins,"$205,343,774","3,858","$205,343,774",Jun 15,Warner Bros.
2005,Madagascar,"$193,595,521","4,142","$193,595,521",May 27,DreamWorks Distribution
2005,Mr. & Mrs. Smith,"$186,336,279","3,451","$186,336,279",Jun 10,Twentieth Century Fox
2005,Hitch,"$179,495,555","3,575","$179,495,555",Feb 11,Sony Pictures Entertainment (SPE)
2005,King Kong,"$158,709,835","3,627","$218,080,025",Dec 14,Universal Pictures
2005,The Longest Yard,"$158,119,460","3,654","$158,119,460",May 27,Paramount Pictures
2005,Fantastic Four,"$154,696,080","3,619","$154,696,080",Jul 8,Twentieth Century Fox
2005,Meet the Fockers,"$146,401,395","3,554","$279,261,160",Dec 22,Universal Pictures
2005,Chicken Little,"$131,744,998","3,658","$135,386,665",Nov 4,Walt Disney Studios Motion Pictures
2005,Robots,"$128,200,012","3,776","$128,200,012",Mar 11,Twentieth Century Fox
2005,The Pacifier,"$113,086,868","3,181","$113,086,868",Mar 4,Walt Disney Studios Motion Pictures
2005,The 40-Year-Old Virgin,"$109,449,237","3,006","$109,449,237",Aug 19,Universal Pictures
2005,Million Dollar Baby,"$99,649,950","2,375","$100,492,203",Dec 15,Warner Bros.
2005,Walk the Line,"$90,851,004","3,160","$119,519,402",Nov 18,Twentieth Century Fox
2005,Flightplan,"$89,082,220","3,424","$89,707,299",Sep 23,Walt Disney Studios Motion Pictures
2005,Saw II,"$86,996,234","2,949","$87,039,965",Oct 28,Lionsgate
2005,Monster-in-Law,"$82,931,695","3,424","$82,931,301",May 13,New Line Cinema
2005,Are We There Yet?,"$82,674,398","2,810","$82,674,398",Jan 21,Revolution Studios
2005,The Dukes of Hazzard,"$80,270,227","3,785","$80,270,227",Aug 5,Warner Bros.
2005,The Aviator,"$78,521,054","2,530","$102,610,330",Dec 17,Miramax
2005,March of the Penguins,"$77,437,223","2,506","$77,437,223",Jun 24,Warner Independent Pictures (WIP)
2005,The Ring Two,"$76,231,249","3,341","$76,231,249",Mar 18,DreamWorks Distribution
2005,Constantine,"$75,934,974","3,006","$75,976,178",Feb 18,Warner Bros.
2005,The Exorcism of Emily Rose,"$75,072,454","3,045","$75,072,454",Sep 9,Screen Gems
2005,Four Brothers,"$74,494,381","2,649","$74,494,381",Aug 12,Paramount Pictures
