year,name,gross,theaters,totalGross,relDate,distributor
2002,Spider-Man,"$403,706,375","3,876","$403,706,375",May 3,Sony Pictures Entertainment (SPE)
2002,Star Wars: Episode II - Attack of the Clones,"$302,191,252","3,161","$302,191,252",May 16,Twentieth Century Fox
2002,Harry Potter and the Chamber of Secrets,"$243,867,371","3,682","$261,988,482",Nov 15,Warner Bros.
2002,Signs,"$227,486,621","3,453","$227,966,634",Aug 2,Walt Disney Studios Motion Pictures
2002,My Big Fat Greek Wedding,"$223,900,343","2,016","$241,438,208",Apr 19,IFC Films
2002,The Lord of the Rings: The Two Towers,"$218,595,905","3,622","$339,789,881",Dec 18,New Line Cinema
2002,Austin Powers in Goldmember,"$212,864,437","3,613","$213,307,889",Jul 26,New Line Cinema
2002,Men in Black II,"$190,418,803","3,641","$190,418,803",Jul 3,Sony Pictures Entertainment (SPE)
2002,Ice Age,"$176,387,405","3,345","$176,387,405",Mar 15,Twentieth Century Fox
2002,A Beautiful Mind,"$154,865,545","2,250","$170,742,341",Dec 21,Universal Pictures
2002,Scooby-Doo,"$153,294,164","3,447","$153,294,164",Jun 14,Warner Bros.
2002,The Lord of the Rings: The Fellowship of the Ring,"$149,492,899","3,381","$313,364,114",Dec 19,New Line Cinema
2002,Die Another Day,"$148,765,559","3,377","$160,942,139",Nov 22,Metro-Goldwyn-Mayer (MGM)
2002,Lilo & Stitch,"$145,794,338","3,222","$145,794,338",Jun 21,Walt Disney Studios Motion Pictures
2002,xXx,"$142,052,700","3,536","$142,109,382",Aug 9,Revolution Studios
2002,The Santa Clause 2,"$136,568,619","3,352","$139,236,327",Nov 1,Walt Disney Studios Motion Pictures
2002,Minority Report,"$132,072,926","3,001","$132,072,926",Jun 21,Twentieth Century Fox
2002,The Ring,"$126,853,967","2,927","$129,128,133",Oct 18,DreamWorks Distribution
2002,Mr. Deeds,"$126,293,452","3,239","$126,293,452",Jun 28,Sony Pictures Entertainment (SPE)
2002,Sweet Home Alabama,"$125,162,368","3,313","$127,223,418",Sep 27,Walt Disney Studios Motion Pictures
2002,The Bourne Identity,"$121,661,683","2,663","$121,661,683",Jun 14,Universal Pictures
2002,The Sum of All Fears,"$118,907,036","3,230","$118,907,036",May 31,Paramount Pictures
2002,8 Mile,"$114,825,865","2,585","$116,750,901",Nov 8,Universal Pictures
2002,Black Hawk Down,"$108,417,454","3,143","$108,638,745",Dec 28,Revolution Studios
2002,Road to Perdition,"$104,454,762","2,332","$104,454,762",Jul 12,DreamWorks Distribution
2002,Panic Room,"$96,397,334","3,119","$96,397,334",Mar 29,Sony Pictures Entertainment (SPE)
2002,Red Dragon,"$93,124,155","3,363","$93,149,898",Oct 4,Universal Pictures
2002,The Scorpion King,"$91,047,077","3,466","$91,047,077",Apr 19,Universal Pictures
